File,Transcript,Translation
D124,Tamil cinema 2.0 vera level la irukku ,tamil cinema 2.0 is so great 
D97,Ghibran ku aaagavey padam hit aaganum,this movie will be hit because of ghibran
D144,"Hey, En Silku Sattae","hey, my silku soft thing"
T90,Ennke leg ge la pain na irrku massage panni udviya?,My leg is paining can you massage it?
D98, semaya iruku.. Chiyaan ipdi paaka,to see chiyan like this is great
T81,Naan glass sel quarter drink panneve,I drink quarter in a glass
D69,"however,movie okay than",however the movie is fine
D24,opening scene vera level,opening scene is superb!
D38,romba varusam kalichu nalla dance adirukanga,"after many years,he has danced nicely"
D145,"Hey! My Dear Machan, Nee Manasu Vechaa","my dear prince, just say the words"
D123, Semma happy daa ,very very happy dude
D68,oruthar mela vishwasam katunga,have trust on one person
T148,Uma ennode hairstyle eepdi irruku?,Uma how is my hairstyle?
D203,Cell’odu orasura,brush against my every cell
T65,Naan nandahe run pannuve,I jog everyday
T112,Dhilip please exercise pannupa,Dhilip please exercise daily
T182,Fridge nalla close panni vayi,Close the fridge properly
D126,massa mari iruku trailer,trailer is soo super
D147,"Raa, Namma Beachu Pakkam Pøthaam","come, let’s hit the beach"
T20,Mac ke bathing panna vachiya?,Did you assist mac in bathing?
D87,Kamal sir nenga vikrama vaithu marma yogi movie pannunga,kamal sir take vikram and do marma yogi movie
T123,Hand wash panname saapde kudadu,Wash your hands and then come to eat
D194,Kannu rendum gun amma,your eyes are like smoking guns-ma
T124,World leyu rummbe important time ande time leyu waste panna kudadu,Time is the most important factor in the world we should never waste time
T17,Everytime timepass pannade,Don’t waste your time everytime
T42,Bag ya clean panni vayi,Put all the bags for cleaning
T89,Rcity mall le enna purchase pannene?,What did you purchase in Rcity mall?
D184,half rate-ula vandi vaangi,half rate bike fair 
T166,Pragati weekly two days test kukukanu ok va?,Pragati weekly two days you have to give test ok?
T71,Healthy food saapdanum,Eat only healthy food
T142,The World One wroli le irruku da aadle new house book pannalama?,Can we purchase a new flate in The World One wroli?
T111,Malaysia tour poovelama?,Can we go on a malaysia tour?
D130,Power rangers maadhiri eduthu vachirukinga,they have took it as a power ranger movie
D39,"sir,veru patta nadipu","sir,a different act"
D12,nan yen friend paaka veliye poran,i will go out to meet my friend
T58,Inde bangles nalla desing aa irrku venuma?,Can I get bangles of good designs here?
D186,Sambala covera thorakka maatteney,i will not open my salary cover
T6,Tomorrow morning ellaru walking poanu,Tomorrow morning let all of us go for a walk
D113,Ama Inga enga Kamal Hassan ah kanom,why cant we fing kamal hasan here
D180,Vaadi EnTamilselvi,come here tamil girl
T169,Everyday ennode homework complete panna da nee tooganu ok va?,Everyday without completeing my homework donot go to sleep ok?
T44,Everyday prayer panna kathuko,Learn to pray everyday
D118,Semma semma CG AND SEMMA BACKGROUND,great cg and great backgroung
T155,Tiffin ready ya aache dad ooude car le vacchete va,Tiffin is ready go and keep it in dad's car
T173,Jarkaran english grammer la complete panniya?,Jaidarshan have you completed english grammer?
T75,Face wash saiven,I am washing my face
T147,Screen nala change pannange,Change the screens
D165,Vehnam tension Leave it,"don’t take tension,leave it
"
T35,Flower vase la nalla clean panni vayi rumba dirty ya irrku,Clean the flower vases its very dirty
D137,LED Light ah Pottutaa,you came firing up a led lamp
D155,"moonu Background Night-U Night-U,",moon’s backdrop is the night.
D200,Podhuva dhoni pola naanum calm’u ma,i’m usually as calm as dhoni
D198,Super cool’u nee,and your’re way too fly
T180,Gym ke taani shoe irrukudu aade eeduthu po,You will have to take different shoes to the gym
D3,"machan,nan varla ,yenneku work irukudhu","dude,i am not coming ,got some work"
T1,Everythime book vachta study paanalpla acting panna kudadu,Everytime by keeping the book open don't pretend like you are studying ok?
D116,Ana movie mokkiya irukum.,but movie is boring
T162,Yaaro vandukungange door open pannuma,Somebody is in front of the dooe please check
T21,Ennake tuition class start aagad ke minnadi breakfast finish pannu,My tuition classes are about to start finish breakfast before that
D27,hindi padham trailer path madhiri iruku,looks like a hindi movie trailer
D121,All best to 2.0  nanga ellarum kannadigas,all the best 2.0 we all are kannadigas
T167,Online class poyita modu yaa TV noise varade?  TV off pannuga!,During online class why there is a lot of TV noise in the background? Switch off the TV!
T55,Naan heat water drink pannaven,I drink only heat water
T101,APMC market le fruits la rumba cheap pa kadicadu,The fruits are very cheap in APMC market
T130,Trisha naan sleep seeiye pohiren,Trisha I am going to sleep
D128,Hollywood movie trailer pakara mari ruku,looks like a hollywood movie
D75,bgm gibran naalave illa,bgm gibran in not good at all
T170,Atleast night ten o'clock yaadu study pannu aapo da portion complete aau pooriyada?,Atleast study till 10 o'clock then only your portinn will get completed on time understood?
D30,yenuku yedum poriyave illa,i didn’t understand anything
D84,Naamalum Vaipom Future Le,we will also do in the future
T116,Every night after food nalla brush pannidthe aa padkunu,Every night you should brush your teeth andthen sleep
D108,Vikramuku Indha padam hit kodukum,this movie is a hit for vikram
T32,Fruits health ke nalla ma naarya saapde,Fruits are good for health eat a lot of fruits
T133,Rcity mall leda offer naarya irrukudu aange povanu,Rcity mall have lot of offers lets go there
D134,Enakku Nee Easy-ah Thaan Venaam,i won’t want you to fall easily for me
D185,unaku ooru suththi kaattatummaa,shall i take you around the city
T78,Trisha aande plate eeduthava,Trisha get that plate here
D45,andha fan na podhu,switch on the fan
T153,Dad ooude tiffin box la wash panni vaayi,Wash dad's tiffin boxes
D66,semma super trailer like podunga,"great trailer,like it"
T84,Naan dinamum car drive pannuve,I drive car everyday
D86,Ethana peru ethu maari padathula except ajith,no seen like this except ajith
T40,Sofa mele leg vakade dirty ya aayadu,Don’t keep your leg on sofa its making the sofa dirty
D187,oruvaatti ok solli paaru,tell “ok” once to me
D71,vikram looks nalla irukudhu,vikram looks are good
D160,Mana Mana Mana Mental Manadhil,this crazy heart
D13,konjam water kudunga,give me some water please
D36,kadaisi part of the music is super!,last part of the music is super
D29,idhu podum thala podum thala,this is enough
D171,Friends’ah ninna powerful maapi,"it’ll be powerful if you stand together as friends, buddy"
D143,Un Kutti Puppy Naan,i’m your little puppy
T104,Hotwater ready aache waterbottel le fill pannunge,Hotwater is ready fill it in the waterbottle
T87,Sunday beach polama?,can we go to beach on Sunday?
D151,One Plus One Two Maamaa,"one plus one is two, my love"
T26,Food ready aaache vama saapd vama,Food is ready let's eat
T19,Please pooja timele disturbe pannade,Please don’t disturbe during pooja time
D96,Next ulaga nayagan namma chiyan,next world class actor is chiyan
D52,Neengatha ennamaga aanai indru,today you became a memory forever
T38,Shoe potutu walking po,Wear shoes while walking
T86,Een avan sleep sehirran?,Why is he sleeping?
T91,Study panna appro proper a shelf le vayuma,After studying keep the books in proper shelves
D179,Pinnadi pesurathu romba crappy,back biting is very crappy
D42,yellam nall iruku ana yedho miss agudhu,its good but something is missing
T96,Innde hair style change panne ma naalave illai,Change your hairstyle it isn't looking good
T3,Today house clean panno Today read panno,Today we cleaned the house and read books
T54,Naan win pannave,I will win surely
T118,Milk veenu ma?,Do you want milk?
D5,"he will not come machan,avan nethe inform panithan group la","he will come,he has informed already in the group about the function"
T56,TV on na irrku off pannu,Tv is on switch it off
T143,50 above le meele uule floor le vaange lama?,Can we book above 50th floor?
D101,Meaning of kadaram kondan is king of Malaysia,meaning of conquerer of kadaram is king of malaysia
T24,Every time phone use pannadinge,Don’t use phone everytime
T128,Inge vandedake appro roomba bore aa irrukudu,Here I get bored
T10,College le best studenta varunu,You will have to emerge as best student in the college
D172,Negativity ellam thallivai baby,keep negativity at a distance baby
D99, paaka transporter Tamil remake maari iruku,looks like transporter tamil remake
T13,Pooja ke time aache come fast!,It's time for pooja come fast!
D62,amma sathiyama sollu trailer nalla illa nu,swear on your mother and say the trailer is not good
D48,yenna da nadakudhu inga,ewhat is happening here
D33,"ayyo,yenna solradhu",god!!what to say
T67,Outside rain ya irruku ma treadmil le walking pannu,It's raining outside lets walk on treadmil
D201,Innikki excitement aanen ma,but today is excitement mode
T141,Enterance ille flower pot lela water podu ma,Water the flower pots near the entrance
D28,nadigar ajith we are waiting,"actor ajith,we are waiting"
T98,Mac toongede disturbe pannadinge!,Mac is sleeping Don’t disturb!
T28,Parrot odu cage clean panniya ma?,Did you clean the parrot's cage?
T60,Tea le gaggery use pannava?,Can you use brown sugar in tea?
D163,Let me sing a kutti story,let me sing a small story
T126,11 o'clock aache va toongla,It's eleven o'clock lets go to sleep
D139,Pammi Poi Paddhuguna Enna Dhaan,so shy i was
D63,come on idhu thala fans festival,come on this is thala fans festival
D136,Iruttu Room-la,in a dark room
D129, appo vfx mokkanu pesna  pasangala,many spoke vfx is badd
D9,nan just velliye irundu vanthen,i have just came from outside
D65,romba nariye super dialogue iruku,there are so many good dialogues
D15,"super aah irruku,kandipa nanga yellarum varuvom",it looks superb! we will come surely with everyone
D157,Girl-U Heart-U Black-U,but heart black within
D41,dialogu romba nalla iruku,dialogue is good
T152,Everyday morning muesli mattu saapdade yedadu change panni saapde,Everday don't just eat museli have something different at times
T168,Jaidarshan maths le second and third lesson complete panniya?,Jaidarshan have you completed second and third lesson in maths? 
T14,Ne yaanda school le study pannare?,Which school are you studying in?
T79,Dress proper aa pannu ma,Dress peoperly
T177,Trishna nee yenne mental aakite da viduven na nanikeren,Trishna I guess you are going to make me crazy
T34,Sleeping time aache bed ready panniya?,It's sleeping time can I get the bed ready?
T4,Tomorrow nalla play paanuo,Play well tomorrow
T9,Ella struggleseu thandi win pannanu,You have to overcome all the struggles
T95,Everyday milk 7 o'clock minnadi  venu,In need milk everyday before seven o'clock
T186,Homework complete panni tinala free timeth le drawing panni paarenge,After completing homework during your free time try drawing
T51,Bucket full water fill panni vayi,Fill the  bucket with water
T178,Voon books yaa neat tave illai?,Why are your books so dirty?
T150,Day lela night dress use pannade,Don't use nightware during day
T103,Semester ke appro naange europe tour povelama?,Can we go to Europe tour after this semester?
T69,Garden povlama play pannadeth ke?,Can we go to garden to play?
D202,Life time settlement’u naan thaan ma,i am your lifetime settlement
D162,Ok En Kanmani Madiyil,cradled in my sweetheart’s arms
D44,thala opening scene ne illa,no opening scene for our leader
T15,Seekra door open pannu,Open the door fast
D191,Nera duet paada vaayen ma,come out and sing duet with me
T109,3 roti yaadu saapde ma,Don’t eat only three breads
T59,Naan sleep panna pohiren,I am going to sleep
D106,Konjam Irumugan Madhiri irukku....All the best,little bit it is like irumurgan movieall the best
D54,Reengaara ninaivugalaga alaiyai inge minjuthe,it is there as a buzzing wave in my heart
D2,"guys,emergency ya blood vennum,inda number ku call panuga","guys,there is an emergency,we need blood urgently,call me on this number"
D50,nee partha viligal,seeing through your eyes
D81,only kaasu irundha podhum,only money is enough
T2,Sarva evening play paana podu carefulla play pannu,Sarva be careful while playing in evening
D35,idhuku dhan oru theraiyana director venum,this why we need a talented director
T63,Trisha badminton vadayalama?,Trisha lets play badminton?
D92,Ippo Bigboss vetukulla vikrama anupe,now vikram  will be sent to bigboss house
D53,Unnodu naanum pona dhooram yaavum nenjile,"the distance that i covered with you, is there in my mind"
T64,Cricket vadayalama?,Lets play cricket?
T39,Fruits nalla clean pannite saapde,Clean the fruits before eating
D14,"lecture poitu irruku,12.30 ku vaaren","my lectures are going on,will come at 12.30"
T115,Hair dye use pannala itching varduma enna pannalam?,After using hair dye my head itches a lot what should I do?
D89,sir ku age pogadu,sir;s age never goes
T73,New dress vaagita vandadeke paathiya?,I have brought a new dress didi you see it?
D167,Palavidha problems will come and go,different forms of problems will come & go
T129,Runwal greens le friends oode walking paanade roomba podichedu,I love walking with my friends in Runwal Greens
T181,Outside le use panni shoe use paanade ma aadekene taani shoe yedethe po,Don't use outside shoes there is a different shoes for this
D135,Pesi Pesi Correct Pannavenna,i will sweep you off with my sweet talk
T106,Bigboss le rubina oude acting roomba nalla irruku,In biggboss rubina's acting skills were commendable
T172,Sarva enna pannite irruke? Study timethele play panna de!,Sarva what are you doing? Don't disturb while studying!
T120,College greden nalla clean na vacherkange,College garden is very neat and clean
T41,Basketball valladlama?,Can we play basketball?
D55,Noolarundha pattam pole Unnai sutri naanum aada,i’m swirling around you like a kite
D51,Naetru naan unnai paartha paarvai veru,i hate the sight i saw of you
D175,Self motivation Athu neethaane,you are the self-motivation
D190,Inime Tik Tok ellam inga ban’u ma,tik tok has been banned these days
T185,Afternoon le toonge ve kudadu health theke naalade illai,Afternoon nap is not good for health
D188,manasu sync aanaa podhum,enough if our mind sync together
D170,Slow’ah pona Steady’um must’u,on going slow remaining steady is a must
D59,Kadhaippoma kadhaippoma kadhaippom,shall we speak
D49,amitabh bachan acting evanuku konjum kuda set agala,amitabh bachan acting is not suiting him
T145,Ego uule friends le la avoid pannanu,Avoid friends with ego issues
T33,Mosquito narya irrku window la close pannu,There are lot of mosquitoes close the windows
T52,Use aagade chapalla throw paaanu,Throw the slippers not in use
D22,yuvan bgm nalla iruku,yuvan bgm is good
T113,Everday exercise pannade rumba important theruma?,Everday it is very important to exercise ok?
D161,Indru Mattum King And Queena,"for today, we’re the king and queen"
T76,Car drive pannu modu careful la pannuma,Be careful while driving car
D192,Romba strict’ah irundhathellam podhumma,it’s time to loosen up
T93,New phone venuma ma?,Do you want new phone?
T144,Eedadu good work pannadan seekrum mai sleep varu,If you do good deeds then only you can sleep well
T57,Naan god de worship pannve,I am worshipping god
T108,Roti runba soft aa irruku,The bread is very soft
D150,I Will Give You Pøochendu,"here, i’ve got you flowers"
D131,Pora Pokkil Oru Look-ah Vittu,"with a careless glance, as she went past me"
D152,Naan Unnulla Paadhi Namma Semma PAIR,i’m part of you. we’re the perfect pair
T163,Pragati homework la complete panniya,Pragati did you complete the homework?
D100,Vikram sir ella costumum ella characterum ,no costum no character without chiyan sir
D88,sir adhu  superrrrrrra irukkum.,sir this is super
T131,Please study panna modu phone silent le vaayema,Please keep your phone on silent while studying
T12,Yada nanche feel panna kudadu,You shouldn’t worry about anything
D122,Trailer na  ipdi irukanum!,trailer should be like this
T187,Palying pannadu roomba important everyday five gto six play pannanu ok va?,Playing is very important! Everyday you should play from five to six ok?
D21,yenna da panni vachirukiga,what have you guys done
D189,ad poyendi ne ok solli,can’t you just say “ok”
D72,"effortless,innum vayise agla pa","effortless,he is not aged at all"
D107,Chiyaan  semma   Love from kerala,chiyan is great love from kerala
T70,Swimming pool la open aaydche va swimming pannala,Swimming pools are open lets go for swimming
T149,Morning 5:30 gym ke poovelama?,Can we go to the gym morning 5:30?
D103,Trailer pakka super ah iruku,trailer is superr to watch
